fw,gl,gh,il,iw,sh,pl,pw,sl,sw,ph,freq,s11,gain
1,30,2,3,1,2.3,28,32,30,40,1.3,13.584,-10.4102754,8.689059515
1,30,2,3,1,2.2,28,32,30,40,1.3,13.596,-10.21976042,8.715933446
1,30,2,3,1,2.1,28,32,30,40,1.3,13.602,-10.10004442,8.779323262
1,30,2,3,1,2,28,32,30,40,1.3,13.614,-9.951370199,8.827239961
1,30,2,3,1,1.9,28,32,30,40,1.3,13.644,-9.356304621,8.835661266
1,30,2,3,1,1.8,28,32,30,40,1.3,13.656,-9.138653395,8.911737402
1,30,2,3,1,1.7,28,32,30,40,1.3,13.698,-8.437233869,8.785302381
1,30,2,3,1,1.6,28,32,30,40,1.3,12.216,-8.778539305,9.732173768
1,30,2,3,1,1.5,28,32,30,40,1.3,12.252,-9.719065189,9.689904453
1,30,2,3,1,1.4,28,32,30,40,1.3,12.33,-10.39954801,9.772251011
1,30,2,3,1,1.3,28,32,30,40,1.3,12.372,-12.25819066,9.687330921
1,30,2,3,1,1.2,28,32,30,40,1.3,12.426,-13.98821872,9.57646012
1,30,2,3,1,1.1,28,32,30,40,1.3,12.48,-16.95037316,9.572740188
1,30,2,3,1,1,28,32,30,40,1.3,12.534,-21.32394522,9.485514155
1,30,2,3,1,0.9,28,32,30,40,1.3,12.606,-31.09265368,9.357811356
1,30,2,3,1,0.8,28,32,30,40,1.3,12.672,-29.30379123,9.300942895
1,30,2,3,1,0.7,28,32,30,40,1.3,12.732,-17.7687571,9.185200896
1,30,2,3,1,0.6,28,32,30,40,1.3,12.792,-12.83281534,9.226676797
1,30,2,3,1,0.5,28,32,30,40,1.3,12.894,-9.998811556,9.258183029
1,30,2,3,1,0.4,28,32,30,40,1.3,14.322,-12.64492074,8.505561837
1,30,2,3,1,0.3,28,32,30,40,1.3,14.454,-31.17703116,7.475912442
1,30,2,3,1,0.2,28,32,30,40,1.3,14.646,-13.82926876,6.701856531
1,30,2,3,1,0.1,28,32,30,40,1.3,15.72,-12.90152821,5.790427687
1,30,2,3,1,3,28,32,30,40,1.2,13.476,-10.49699564,7.90667848
1,30,2,3,1,2.9,28,32,30,40,1.2,13.494,-10.70045981,8.194490808
1,30,2,3,1,2.8,28,32,30,40,1.2,13.506,-10.43405961,8.308371478
1,30,2,3,1,2.7,28,32,30,40,1.2,13.518,-10.31663849,8.528055652
1,30,2,3,1,2.6,28,32,30,40,1.2,13.53,-10.17841731,8.546315155
1,30,2,3,1,2.5,28,32,30,40,1.2,13.548,-10.03389617,8.67653931
1,30,2,3,1,2.4,28,32,30,40,1.2,13.572,-9.733388677,8.710840509
1,30,2,3,1,2.3,28,32,30,40,1.2,13.59,-9.504982311,8.791326006
1,30,2,3,1,2.2,28,32,30,40,1.2,13.602,-9.383344258,8.720394176
1,30,2,3,1,2.1,28,32,30,40,1.2,13.62,-9.375154235,8.839210846
1,30,2,3,1,2,28,32,30,40,1.2,13.626,-9.151768131,8.820927505
1,30,2,3,1,1.9,28,32,30,40,1.2,13.638,-8.915503702,8.83658864
1,30,2,3,1,1.8,28,32,30,40,1.2,13.668,-8.503963534,8.828375494
1,30,2,3,1,1.7,28,32,30,40,1.2,13.686,-8.482982406,8.879705722
1,30,2,3,1,1.6,28,32,30,40,1.2,12.222,-8.739003074,9.688122672
1,30,2,3,1,1.5,28,32,30,40,1.2,12.246,-10.06020972,9.672384066
