fw,gl,gh,il,iw,sh,pl,pw,sl,sw,ph,freq,s11,gain,bandwidth
1,30,2.1,1.6,1,1.4,28,32,30,40,1.7,13.8,-24.0602119,8.375449299,0.31794141
1,30,2.1,1.6,1,1.2,28,32,30,40,1.7,13.83,-34.41787461,8.136765946,0.29025194
1,30,2.1,1.6,1,1,28,32,30,40,1.7,12.408,-34.35243282,9.211092462,0.235706175
1,30,2.1,1.6,1,3.2,28,32,30,40,1.5,13.752,-36.41553538,7.165612887,0.731496119
1,30,2.1,1.6,1,3,28,32,30,40,1.5,13.722,-51.40799128,7.16703302,0.655388649
1,30,2.1,1.6,1,2.8,28,32,30,40,1.5,13.686,-31.4511155,7.618355473,0.54265712
1,30,2.1,1.6,1,2.6,28,32,30,40,1.5,13.722,-26.67175205,7.917454217,0.531593227
1,30,2.1,1.6,1,2.4,28,32,30,40,1.5,13.734,-23.53000059,8.246739713,0.474176791
1,30,2.1,1.6,1,2.2,28,32,30,40,1.5,13.746,-22.05333838,8.497843546,0.424731862
1,30,2.1,1.6,1,2,28,32,30,40,1.5,13.764,-21.96454157,8.598469153,0.388560733
1,30,2.1,1.6,1,1.8,28,32,30,40,1.5,13.776,-22.51312178,8.586366244,0.359572277
1,30,2.1,1.6,1,1.6,28,32,30,40,1.5,13.776,-22.98424487,8.524581824,0.325386065
1,30,2.1,1.6,1,1.4,28,32,30,40,1.5,13.812,-28.1441985,8.381929997,0.30691549
1,30,2.1,1.6,1,1.2,28,32,30,40,1.5,13.824,-44.85073641,8.139142127,0.281561252
1,30,2.1,1.6,1,1,28,32,30,40,1.5,12.426,-28.86390493,9.238885844,0.233040113
1,30,2.1,1.6,1,3.2,28,32,30,40,1.3,13.668,-33.12400993,7.289479407,0.627878702
1,30,2.1,1.6,1,3,28,32,30,40,1.3,13.71,-39.09790934,7.458820182,0.608853457
1,30,2.1,1.6,1,2.8,28,32,30,40,1.3,13.716,-28.73038769,7.944560327,0.54367941
1,30,2.1,1.6,1,2.6,28,32,30,40,1.3,13.722,-24.53489758,8.215458599,0.480958794
1,30,2.1,1.6,1,2.4,28,32,30,40,1.3,13.746,-22.52200715,8.44970947,0.438120661
1,30,2.1,1.6,1,2.2,28,32,30,40,1.3,13.758,-22.2773072,8.548442543,0.406965405
1,30,2.1,1.6,1,2,28,32,30,40,1.3,13.776,-23.01530107,8.632985257,0.369797179
1,30,2.1,1.6,1,1.8,28,32,30,40,1.3,13.788,-24.72816451,8.626191515,0.345140281
1,30,2.1,1.6,1,1.6,28,32,30,40,1.3,13.812,-28.3690407,8.470577251,0.318727501
1,30,2.1,1.6,1,1.4,28,32,30,40,1.3,13.83,-39.87969409,8.317622372,0.29782294
1,30,2.1,1.6,1,1.2,28,32,30,40,1.3,13.842,-33.71903708,8.107306495,0.274873118
1,30,2.1,1.6,1,1,28,32,30,40,1.3,12.444,-29.34873162,9.326680614,0.227578461
1,30,2.1,1.6,1,3.2,28,32,30,40,1.1,13.704,-45.49283645,7.470637569,0.621883599
1,30,2.1,1.6,1,3,28,32,30,40,1.1,13.704,-33.67970345,7.922799809,0.55845282
1,30,2.1,1.6,1,2.8,28,32,30,40,1.1,13.716,-26.99574566,8.292593419,0.496338086
1,30,2.1,1.6,1,2.6,28,32,30,40,1.1,13.734,-24.13173518,8.490044297,0.44556571
1,30,2.1,1.6,1,2.4,28,32,30,40,1.1,13.746,-23.3753806,8.656573176,0.408265881
1,30,2.1,1.6,1,2.2,28,32,30,40,1.1,13.764,-23.76596967,8.696430408,0.391140761
1,30,2.1,1.6,1,2,28,32,30,40,1.1,13.782,-26.18582762,8.742877282,0.35645335
1,30,2.1,1.6,1,1.8,28,32,30,40,1.1,13.806,-28.82818676,8.627164285,0.332704363
1,30,2.1,1.6,1,1.6,28,32,30,40,1.1,13.83,-40.11552283,8.402003234,0.312398124
1,30,2.1,1.6,1,1.4,28,32,30,40,1.1,13.842,-30.51676325,8.209360633,0.284462395
1,30,2.1,1.6,1,1.2,28,32,30,40,1.1,13.848,-25.75975514,8.212024139,0.263380604
1,30,2.1,1.6,1,1,28,32,30,40,1.1,12.462,-25.56584247,9.265174687,0.218267453
1,30,2.1,1.6,1,3.2,28,32,30,40,0.9,13.686,-48.83079635,7.848358399,0.564109501
1,30,2.1,1.6,1,3,28,32,30,40,0.9,13.704,-30.29618736,8.245592421,0.50633428
1,30,2.1,1.6,1,2.8,28,32,30,40,0.9,12.6,-28.99934717,8.11612924,0.075582707
1,30,2.1,1.6,1,2.6,28,32,30,40,0.9,13.74,-25.47476586,8.671520819,0.421768823
1,30,2.1,1.6,1,2.4,28,32,30,40,0.9,13.758,-25.7348308,8.77753958,0.389526333
1,30,2.1,1.6,1,2.2,28,32,30,40,0.9,13.764,-26.78515877,8.815905227,0.368258099
1,30,2.1,1.6,1,2,28,32,30,40,0.9,13.794,-33.36193904,8.720785084,0.341893906
1,30,2.1,1.6,1,1.8,28,32,30,40,0.9,13.818,-50.57464193,8.595253381,0.316165591
1,30,2.1,1.6,1,1.6,28,32,30,40,0.9,13.818,-32.91851268,8.450389232,0.29316024
1,30,2.1,1.6,1,1.4,28,32,30,40,0.9,13.86,-22.80015151,8.168936389,0.27114045
1,30,2.1,1.6,1,1.2,28,32,30,40,0.9,12.366,-23.79274462,9.412291004,0.199769745
1,30,2.1,1.6,1,1,28,32,30,40,0.9,12.48,-25.73948351,9.172899554,0.212522696
1,30,2.1,1.6,1,3.2,28,32,30,40,0.7,13.674,-47.67538254,8.245271408,0.53209546
1,30,2.1,1.6,1,3,28,32,30,40,0.7,13.698,-33.50481895,8.555042414,0.459850099
1,30,2.1,1.6,1,2.8,28,32,30,40,0.7,13.722,-32.10141445,8.698015623,0.42246844
1,30,2.1,1.6,1,2.6,28,32,30,40,0.7,13.746,-30.56483285,8.813060524,0.391254187
1,30,2.1,1.6,1,2.4,28,32,30,40,0.7,13.77,-36.2345894,8.872277718,0.375616442
1,30,2.1,1.6,1,2.2,28,32,30,40,0.7,13.776,-45.45250624,8.812764674,0.349465281
1,30,2.1,1.6,1,2,28,32,30,40,0.7,13.8,-31.8285441,8.721871941,0.326464734
1,30,2.1,1.6,1,1.8,28,32,30,40,0.7,13.818,-25.47155099,8.521850681,0.299310483
1,30,2.1,1.6,1,1.6,28,32,30,40,0.7,13.83,-22.00687013,8.341646956,0.272293534
1,30,2.1,1.6,1,1.4,28,32,30,40,0.7,13.836,-19.20849238,8.328184208,0.246460377
1,30,2.1,1.6,1,1.2,28,32,30,40,0.7,12.45,-23.38727634,9.226273026,0.213792056
1,30,2.1,1.6,1,1,28,32,30,40,0.7,12.552,-26.73403424,8.987191609,0.218730909
1,30,2.1,1.6,1,3.2,28,32,30,40,0.5,13.68,-44.07194728,8.526690405,0.47750051
1,30,2.1,1.6,1,3,28,32,30,40,0.5,13.704,-47.59610284,8.717563348,0.438973949
1,30,2.1,1.6,1,2.8,28,32,30,40,0.5,13.734,-46.21323753,8.795900334,0.407541938
1,30,2.1,1.6,1,2.6,28,32,30,40,0.5,13.752,-41.41600749,8.859938811,0.378847183
1,30,2.1,1.6,1,2.4,28,32,30,40,0.5,13.758,-29.70330463,8.921637782,0.365268181
1,30,2.1,1.6,1,2.2,28,32,30,40,0.5,13.782,-24.69260284,8.912836712,0.333062759
1,30,2.1,1.6,1,2,28,32,30,40,0.5,13.806,-21.3182432,8.730898411,0.307052379
1,30,2.1,1.6,1,1.8,28,32,30,40,0.5,13.812,-19.784475,8.547819244,0.275383379
1,30,2.1,1.6,1,1.6,28,32,30,40,0.5,13.836,-16.50035516,8.352297324,0.237335645
